Cooling_SP,Wall_U,Window_U ,Floor_U,Roof_U,Window_SHGC,Infiltration_rate ,Sensible HR_Eff,EUI-Baseline,IDD-Baseline,OCI-Baseline
24,0.640589747,1.406166863,0.276082368,0.349469942,0.252207208,0.479882246,0.683870786,174.141981,1.273287926,98.56436122
21,0.752694556,2.757677561,0.396593194,0.175014237,0.100809324,0.837426171,0.54631102,242.518746,0.79213639,137.2656103
22,0.440310182,1.663993465,0.354225504,0.276161212,0.19200841,0.848747071,0.623814944,245.955136,1.05696957,139.210607
21,0.70702077,2.911246147,0.539027911,0.311206971,0.277942928,0.827749793,0.599181087,232.3596748,1.360748859,131.5155759
20,0.297261195,2.957432266,0.661006045,0.275015687,0.253973974,0.948472558,0.849459353,262.4710565,1.12869998,148.558618
21,0.597694441,1.995324588,0.254535102,0.306000206,0.207979036,0.400394598,0.527468819,173.9177095,1.154969109,98.4374236
23,0.394881737,1.644939521,0.664668045,0.186412265,0.112160114,0.652787052,0.620605173,211.8176235,0.731444527,119.8887749
22,0.65121292,2.732310316,0.446000345,0.161684109,0.126570629,0.704775077,0.556817149,208.5185996,0.770281783,118.0215274
23,0.225205598,1.64564704,0.414696892,0.314562209,0.196953608,0.910575213,0.551039429,244.1417842,1.109868766,138.1842498
20,0.496400257,3.482723881,0.242077688,0.173888655,0.123054403,0.778680023,0.781174306,219.2287908,0.696511694,124.0834956
20,0.288880052,1.180481786,0.716892811,0.282702951,0.167930081,0.456171087,0.662966812,181.5622479,0.9275034,102.7642323
22,0.577567566,1.710052646,0.23356976,0.384184879,0.22873232,0.429312142,0.510160979,179.5053467,1.339358647,101.6000262
24,0.319932065,2.130944098,0.610185774,0.157253355,0.160295466,0.657011678,0.811621225,199.2388699,0.706018058,112.7692003
22,0.267926859,3.144098897,0.725969475,0.327448027,0.202884788,0.762137289,0.627818258,232.3906246,1.193675696,131.5330935
21,0.682976316,1.997455087,0.663294789,0.320393198,0.123861535,0.330793051,0.556429249,161.1806073,1.021928057,91.22822372
20,0.462575239,3.205762569,0.70384103,0.238262215,0.194037081,0.591579497,0.828858569,190.2886816,0.935331317,107.7033938
24,0.566361327,2.554830935,0.685131657,0.246087257,0.27686324,0.725592979,0.641881431,214.5386513,1.216641094,121.4288766
21,0.45719774,3.242000429,0.285291509,0.339274055,0.163181574,0.327988543,0.689545417,160.3642303,1.079796096,90.76615433
20,0.266496103,1.506333106,0.59442407,0.193927436,0.262914531,0.941295892,0.619623971,249.787119,0.997275037,141.3795093
21,0.223978721,1.718005911,0.233997667,0.161620653,0.293886003,0.518491045,0.817214582,179.3010912,0.903002642,101.4844176
22,0.510841966,1.362153859,0.315892067,0.18004214,0.268827081,0.818250937,0.648749838,241.6689181,1.035167785,136.7846077
20,0.539383207,2.984516463,0.468422832,0.380694748,0.263325984,0.693673328,0.574810896,223.3846873,1.431753357,126.435733
20,0.50368916,2.857484792,0.391860568,0.3288752,0.105575545,0.974172144,0.754314619,252.2747465,0.942882468,142.7875065
22,0.360540325,3.357895596,0.630465473,0.308028509,0.271056562,0.925225943,0.707190118,247.260749,1.278997785,139.9495839
24,0.34653745,1.41037838,0.44765455,0.201217724,0.110197127,0.960702454,0.801140911,248.2624956,0.685649401,140.5165725
24,0.745688041,2.668008909,0.337940649,0.288785802,0.250392041,0.877835588,0.699934032,238.7787685,1.250701051,135.148783
24,0.538486507,1.782126454,0.667717995,0.343838119,0.236770706,0.961322211,0.711151268,252.5952713,1.274320826,142.9689235
20,0.765943345,2.792244866,0.794176571,0.162302072,0.227511866,0.882081682,0.630525028,252.0484058,1.018023287,142.6593977
23,0.468056106,2.569795929,0.235539755,0.325907911,0.197218524,0.920594993,0.510629474,258.6170204,1.232914273,146.3772336
23,0.235969648,2.519190013,0.258427951,0.343343617,0.194851622,0.917911913,0.542771283,245.3922967,1.184154691,138.8920399
20,0.338894148,1.603468197,0.638270981,0.228841328,0.215782027,0.564461463,0.67521258,199.768742,0.951899932,113.069108
21,0.654145571,2.064634647,0.512363321,0.228907411,0.107423969,0.344574183,0.597420909,149.5207307,0.786365098,84.62873356
24,0.610131956,3.061361286,0.654792474,0.335567719,0.290619044,0.57410206,0.626324328,203.2974087,1.437885468,115.0663333
23,0.46546588,1.871478018,0.691266227,0.295241791,0.120717492,0.713860181,0.617137148,222.7552913,0.968545634,126.0794948
20,0.575695658,2.459522699,0.312821834,0.191556608,0.144624081,0.310070011,0.609908296,156.9171705,0.787772593,88.81511848
22,0.286180102,2.546140565,0.206842064,0.189815078,0.238788998,0.977909086,0.840952264,265.9391625,0.93446282,150.521566
20,0.565580422,1.765307384,0.227459356,0.306877054,0.278548807,0.442485352,0.619529022,169.1339085,1.231425455,95.7297922
23,0.229000462,1.748084868,0.578950177,0.323509228,0.112441845,0.448131544,0.705477478,178.6645714,0.896751291,101.1241474
24,0.222535592,1.945840376,0.579271934,0.160862745,0.135703452,0.87026344,0.86074741,233.2199121,0.646772031,132.0024702
21,0.595067574,1.465003589,0.240665399,0.259995943,0.190180315,0.862047178,0.684964543,247.8293223,1.010726533,140.2713964
20,0.583763358,1.315553339,0.397584525,0.237294191,0.214281224,0.839289083,0.747013428,231.7750377,0.963111889,131.1846713
21,0.48937379,2.200990587,0.512256801,0.37143551,0.217573113,0.517734447,0.697745564,180.2509348,1.22053236,102.0220291
22,0.747098537,2.490356978,0.346053455,0.35242518,0.259367484,0.911783135,0.504896056,246.5268598,1.417708838,139.5342026
24,0.601710823,2.663104066,0.745936818,0.269925733,0.19699162,0.841355717,0.531782723,232.7876427,1.154291277,131.7578058
20,0.752812422,1.213501854,0.66025376,0.334991234,0.217087759,0.920568273,0.651517117,246.6810169,1.211470864,139.6214556
23,0.535190426,2.22226016,0.767520969,0.392056182,0.197628315,0.710688898,0.550027718,224.9289781,1.338762801,127.3098016
20,0.290007002,2.759736913,0.564335386,0.174978022,0.179561054,0.90152549,0.841486039,252.6060871,0.791424612,142.9750453
20,0.748737633,1.39365487,0.516369982,0.289582893,0.195451327,0.412365003,0.882701539,161.2081536,0.975279159,91.24381492
21,0.335481533,1.280474369,0.372391429,0.30024317,0.291301263,0.600365863,0.813455397,206.3193146,1.185155867,116.7767321
24,0.30191939,3.285861897,0.30655677,0.164116641,0.104194857,0.59108091,0.754817357,187.5580931,0.63437447,106.1578807
21,0.219574558,1.304761708,0.661930723,0.191758824,0.214478849,0.891727126,0.69652634,252.628601,0.89053497,142.9877882
23,0.222638992,3.272378834,0.630736711,0.293276366,0.123556582,0.74369484,0.620746168,214.8771604,0.948699313,121.6204728
23,0.507973523,1.532029245,0.786644154,0.198053852,0.274642143,0.443233041,0.65404774,180.6431273,1.078258457,102.2440101
